term,category,status,quarantine_reason,hebrew_script,source
kor,time_weather,candidate,,,round2:deepseek-flash
motzei chag,time_weather,candidate,,,round2:deepseek-flash
raam,time_weather,candidate,,,round2:deepseek-flash
ruach,time_weather,candidate,,,round2:deepseek-flash
sharav,time_weather,candidate,,,round2:deepseek-flash
sheleg,time_weather,candidate,,,round2:deepseek-flash
shkia,time_weather,candidate,,,round2:deepseek-flash
sof shavua,time_weather,candidate,,,round2:deepseek-flash
stav,time_weather,candidate,,,round2:deepseek-flash
tzeit hakochavim,time_weather,candidate,,,round2:deepseek-flash
yom chamishi,time_weather,candidate,,,round2:deepseek-flash
yom chofesh,time_weather,candidate,,,round2:deepseek-flash
yom revi'i,time_weather,candidate,,,round2:deepseek-flash
yom rishon,time_weather,candidate,,,round2:deepseek-flash
yom sheni,time_weather,candidate,,,round2:deepseek-flash
yom shishi,time_weather,candidate,,,round2:deepseek-flash
yom shlishi,time_weather,candidate,,,round2:deepseek-flash
yom tov,time_weather,candidate,,,round2:deepseek-flash
agrat rishayon,vehicles,candidate,,,round2:deepseek-flash
bituch,vehicles,candidate,,,round2:deepseek-flash
bituch chova,vehicles,candidate,,,round2:deepseek-flash
bochen,vehicles,candidate,,,round2:deepseek-flash
chalakim,vehicles,candidate,,,round2:deepseek-flash
chaniya,vehicles,candidate,,,round2:deepseek-flash
chelek,vehicles,candidate,,,round2:deepseek-flash
chidush rishayon,vehicles,candidate,,,round2:deepseek-flash
dmei chaniya,vehicles,candidate,,,round2:deepseek-flash
doach,vehicles,candidate,,,round2:deepseek-flash
doach chaniya,vehicles,candidate,,,round2:deepseek-flash
galgal,vehicles,candidate,,,round2:deepseek-flash
garaj,vehicles,candidate,,,round2:deepseek-flash
kenas,vehicles,candidate,,,round2:deepseek-flash
makif,vehicles,candidate,,,round2:deepseek-flash
mas rechev,vehicles,candidate,,,round2:deepseek-flash
mishpat,vehicles,candidate,,,round2:deepseek-flash
mispar rechev,vehicles,candidate,,,round2:deepseek-flash
monit sherut,vehicles,candidate,,,round2:deepseek-flash
more nehiga,vehicles,candidate,,,round2:deepseek-flash
musach,vehicles,candidate,,,round2:deepseek-flash
nahag,vehicles,candidate,,,round2:deepseek-flash
ofno'a,vehicles,candidate,,,round2:deepseek-flash
rechev,vehicles,candidate,,,round2:deepseek-flash
rechev tziburi,vehicles,candidate,,,round2:deepseek-flash
rishayon nehiga,vehicles,candidate,,,round2:deepseek-flash
tahanat delek,vehicles,candidate,,,round2:deepseek-flash
test shnati,vehicles,candidate,,,round2:deepseek-flash
teunah,vehicles,candidate,,,round2:deepseek-flash
tipul,vehicles,candidate,,,round2:deepseek-flash
tzad gimel,vehicles,candidate,,,round2:deepseek-flash
bituach menahalim,work,candidate,,,round2:deepseek-flash
bruto,work,candidate,,,round2:deepseek-flash
chok avoda,work,candidate,,,round2:deepseek-flash
chozeh avoda,work,candidate,,,round2:deepseek-flash
chufsha,work,candidate,,,round2:deepseek-flash
dmei chufsha,work,candidate,,,round2:deepseek-flash
hafrasha,work,candidate,,,round2:deepseek-flash
hanhala,work,candidate,,,round2:deepseek-flash
heskem kolektivi,work,candidate,,,round2:deepseek-flash
hitpatrut,work,candidate,,,round2:deepseek-flash
koach adam,work,candidate,,,round2:deepseek-flash
maasik,work,candidate,,,round2:deepseek-flash
machala,work,candidate,,,round2:deepseek-flash
maskoret,work,candidate,,,round2:deepseek-flash
mishmeret,work,candidate,,,round2:deepseek-flash
neto,work,candidate,,,round2:deepseek-flash
nikuim,work,candidate,,,round2:deepseek-flash
oved,work,candidate,,,round2:deepseek-flash
piturim,work,candidate,,,round2:deepseek-flash
pitzuim,work,candidate,,,round2:deepseek-flash
reayon avoda,work,candidate,,,round2:deepseek-flash
sachar,work,candidate,,,round2:deepseek-flash
sachar minimum,work,candidate,,,round2:deepseek-flash
tlush,work,candidate,,,round2:deepseek-flash
tlush maskoret,work,candidate,,,round2:deepseek-flash
vaad ovedim,work,candidate,,,round2:deepseek-flash
yemei chufsha,work,candidate,,,round2:deepseek-flash
yemei machala,work,candidate,,,round2:deepseek-flash
