term,category,status,quarantine_reason,hebrew_script,source,variants
keren pensia,finance,active,,,round2:deepseek-flash,keren pensiah
kitzvat yeladim,finance,active,,,round2:deepseek-flash,kitsvat yeladim|kizvat yeladim
kupat gemel,finance,active,,,round2:deepseek-flash,
kupat gemel lehashkaa,finance,active,,,round2:deepseek-flash,kupat gemel lehashkaah
kupat pensia,finance,active,,,round2:deepseek-flash,kupat pensiah
mas briut,finance,active,,,round2:deepseek-flash,
mas hachnasa,finance,active,,,english-hebrew-mixed-sentences,mas hachnasah|mas hakhnasa|mas hahnasa
nekudot zikui,finance,active,,,round2:deepseek-flash,nekudot zikuih
pikadon,finance,active,,,round2:deepseek-flash,
ptur mas,finance,active,,,round2:deepseek-flash,
ribit lo tzmuda,finance,active,,,round2:deepseek-flash,ribit lo tzmudah|ribit lo tsmuda|ribit lo zmuda
ribit tzmuda,finance,active,,,round2:deepseek-flash,ribit tzmudah|ribit tsmuda|ribit zmuda
tofes,finance,active,,,round2:deepseek-flash,
tvia,finance,active,,,round2:deepseek-flash,tviah
zikui mas,finance,active,,,round2:deepseek-flash,
cholent,food,active,,,english-hebrew-mixed-sentences,kholent|holent
rugelach,food,active,,,english-hebrew-mixed-sentences,rugelac|rugelakh|rugelah
sabich,food,active,,,english-hebrew-mixed-sentences,sabic|sabikh|sabih
shawarma,food,active,,,english-hebrew-mixed-sentences,shawarmah
amba,food_shopping,active,,,generated:deepseek-flash,ambah
antrikot,food_shopping,active,,,generated:deepseek-flash,
azrieli,food_shopping,active,,,generated:deepseek-flash,azrielih
babaganoush,food_shopping,active,,,generated:deepseek-flash,babaganous
baklava,food_shopping,active,,,generated:deepseek-flash,baklavah
bamba,food_shopping,active,,,generated:deepseek-flash,bambah
beytza,food_shopping,active,,,round2:deepseek-flash,beytzah|beytsa|beyza
bisli,food_shopping,active,,,generated:deepseek-flash,bislih
botz,food_shopping,active,,,generated:deepseek-flash,bots|boz
bourekas,food_shopping,active,,,generated:deepseek-flash,
cafe hafuch,food_shopping,active,,,generated:deepseek-flash,cafe hafuc|cafe hafukh|cafe hafuh
chamin,food_shopping,active,,,round2:deepseek-flash,khamin|hamin
chatzilim,food_shopping,active,,,generated:deepseek-flash,khatzilim|hatzilim|chatsilim|chazilim
chavita,food_shopping,active,,,round2:deepseek-flash,chavitah|khavita|havita
chummusia,food_shopping,active,,,generated:deepseek-flash,chummusiah|khummusia|hummusia
ful,food_shopping,active,,,generated:deepseek-flash,
ful medames,food_shopping,active,,,generated:deepseek-flash,
gvina levana,food_shopping,active,,,round2:deepseek-flash,gvina levanah
hafuch,food_shopping,active,,,generated:deepseek-flash,hafuc|hafukh|hafuh
halva,food_shopping,active,,,generated:deepseek-flash,halva'ah|halvaa|halvah
hamashbir,food_shopping,active,,,generated:deepseek-flash,
harif,food_shopping,active,,,generated:deepseek-flash,
hilbeh,food_shopping,active,,,generated:deepseek-flash,hilbe
ikra,food_shopping,active,,,generated:deepseek-flash,ikrah
itriyot,food_shopping,active,,,generated:deepseek-flash,
jachnun,food_shopping,active,,,generated:deepseek-flash,jakhnun|jahnun
kabanos,food_shopping,active,,,generated:deepseek-flash,
kadaif,food_shopping,active,,,generated:deepseek-flash,
kanyon,food_shopping,active,,,generated:deepseek-flash,
knafeh,food_shopping,active,,,generated:deepseek-flash,knafe
kneidlach,food_shopping,active,,,generated:deepseek-flash,kneidlac|kneidlakh|kneidlah
kolbo,food_shopping,active,,,generated:deepseek-flash,kolboh
krembo,food_shopping,active,,,generated:deepseek-flash,kremboh
kreplach,food_shopping,active,,,generated:deepseek-flash,kreplac|kreplakh|kreplah
ktzitzot,food_shopping,active,,,generated:deepseek-flash,ktsitsot|kzizot
kubaneh,food_shopping,active,,,generated:deepseek-flash,kubane
kuskus,food_shopping,active,,,generated:deepseek-flash,
lachmaniyot,food_shopping,active,,,round2:deepseek-flash,lakhmaniyot|lahmaniyot
lachuch,food_shopping,active,,,generated:deepseek-flash,lachuc|lakhukh|lahuh
lahoh,food_shopping,active,,,generated:deepseek-flash,laho
lecho,food_shopping,active,,,generated:deepseek-flash,lechoh|lekho|leho
lokshen,food_shopping,active,,,generated:deepseek-flash,
maafiya,food_shopping,active,,,round2:deepseek-flash,maafiyah
machsanei hashuk,food_shopping,active,,,generated:deepseek-flash,makhsanei hashuk|mahsanei hashuk
machsanei lahav,food_shopping,active,,,generated:deepseek-flash,makhsanei lahav|mahsanei lahav
majadra,food_shopping,active,,,generated:deepseek-flash,majadrah
malabi,food_shopping,active,,,generated:deepseek-flash,malabih
malawach,food_shopping,active,,,generated:deepseek-flash,malawac|malawakh|malawah
malha,food_shopping,active,,,generated:deepseek-flash,malhah
mamilla,food_shopping,active,,,generated:deepseek-flash,mamillah
marak,food_shopping,active,,,generated:deepseek-flash,
marak itriyot,food_shopping,active,,,generated:deepseek-flash,
marak yerek,food_shopping,active,,,generated:deepseek-flash,
matbucha,food_shopping,active,,,generated:deepseek-flash,matbuchah|matbukha|matbuha
mekupelet,food_shopping,active,,,generated:deepseek-flash,
meorav yerushalmi,food_shopping,active,,,generated:deepseek-flash,meorav yerushalmih
merguez,food_shopping,active,,,generated:deepseek-flash,
meurav yerushalmi,food_shopping,active,,,round2:deepseek-flash,meurav yerushalmih
miznon,food_shopping,active,,,generated:deepseek-flash,
msabbaha,food_shopping,active,,,generated:deepseek-flash,msabbahah
mujaddara,food_shopping,active,,,generated:deepseek-flash,mujaddarah
naknik,food_shopping,active,,,generated:deepseek-flash,
naknikiyot,food_shopping,active,,,generated:deepseek-flash,
nitzat haduvdevan,food_shopping,active,,,generated:deepseek-flash,nitsat haduvdevan|nizat haduvdevan
oznei haman,food_shopping,active,,,generated:deepseek-flash,
pargiot,food_shopping,active,,,generated:deepseek-flash,
pargit,food_shopping,active,,,generated:deepseek-flash,
pastrama,food_shopping,active,,,generated:deepseek-flash,pastramah
pesek zman,food_shopping,active,,,generated:deepseek-flash,
pitzutzia,food_shopping,active,,,generated:deepseek-flash,pitzutziah|pitsutsia|pizuzia
ptitim,food_shopping,active,,,generated:deepseek-flash,
pulke,food_shopping,active,,,generated:deepseek-flash,pulkeh
salat chatzilim,food_shopping,active,,,generated:deepseek-flash,salat khatzilim|salat hatzilim|salat chatsilim|salat chazilim
salat katzutz,food_shopping,active,,,generated:deepseek-flash,salat katsuts|salat kazuz
salat yerakot,food_shopping,active,,,generated:deepseek-flash,
salatim,food_shopping,active,,,generated:deepseek-flash,
sambusak,food_shopping,active,,,generated:deepseek-flash,
sarona,food_shopping,active,,,generated:deepseek-flash,saronah
shakshuka,food_shopping,active,,,generated:deepseek-flash,shakshukah
shamenet,food_shopping,active,,,round2:deepseek-flash,
sharona,food_shopping,active,,,generated:deepseek-flash,sharonah
shipud,food_shopping,active,,,round2:deepseek-flash,
shishlik,food_shopping,active,,,generated:deepseek-flash,
shnitzel,food_shopping,active,,,generated:deepseek-flash,shnitsel|shnizel
shoko b'sakit,food_shopping,active,,,generated:deepseek-flash,shoko bsakit
shuk hacarmel,food_shopping,active,,,generated:deepseek-flash,
shuk hanamal,food_shopping,active,,,generated:deepseek-flash,
shuk hapishpeshim,food_shopping,active,,,generated:deepseek-flash,
shuk hatikva,food_shopping,active,,,generated:deepseek-flash,shuk hatikvah
shuk sarona,food_shopping,active,,,generated:deepseek-flash,shuk saronah
sinta,food_shopping,active,,,generated:deepseek-flash,sintah
skhug,food_shopping,active,,,generated:deepseek-flash,schug|shug
sufganiya,food_shopping,active,,,generated:deepseek-flash,sufganiyah
sufganiyot,food_shopping,active,,,generated:deepseek-flash,
taramosalata,food_shopping,active,,,generated:deepseek-flash,taramosalatah
techina,food_shopping,active,,,generated:deepseek-flash,techinah|tekhina|tehina
tiv taam,food_shopping,active,,,generated:deepseek-flash,
tzarchania,food_shopping,active,,,round2:deepseek-flash,tzarchaniah|tzarkhania|tzarhania|tsarchania
tzonit,food_shopping,active,,,round2:deepseek-flash,tsonit|zonit
yeinot bitan,food_shopping,active,,,generated:deepseek-flash,
yochananof,food_shopping,active,,,generated:deepseek-flash,yokhananof|yohananof
zhug,food_shopping,active,,,generated:deepseek-flash,
balagan,general,active,,,english-hebrew-mixed-sentences,
chool,general,active,,,english-hebrew-mixed-sentences,khool|hool
matzav,general,active,,,english-hebrew-mixed-sentences,matsav|mazav
beit din,government,active,,,round2:deepseek-flash,
beit mishpat,government,active,,,round2:deepseek-flash,
lishkat ta'asuka,government,active,,,round2:deepseek-flash,lishkat taasuka|lishkat taasukah
magav,government,active,,,round2:deepseek-flash,
meches,government,active,,,round2:deepseek-flash,mekhes|mehes
mishtara,government,active,,,round2:deepseek-flash,mishtarah
misrad ha'aliyah,government,active,,,round2:deepseek-flash,misrad haaliyah|misrad ha-aliyah|misrad haaliya
misrad ha'avoda,government,active,,,round2:deepseek-flash,misrad haavoda|misrad ha-avoda|misrad haavodah
misrad ha'energiya,government,active,,,round2:deepseek-flash,misrad haenergiya|misrad ha-energiya|misrad haenergiyah
misrad ha'otzar,government,active,,,round2:deepseek-flash,misrad haotzar|misrad ha-otzar|misrad haotsar|misrad haozar
misrad habitachon,government,active,,,round2:deepseek-flash,misrad habitakhon|misrad habitahon
misrad habriut,government,active,,,round2:deepseek-flash,
misrad hachaklaut,government,active,,,round2:deepseek-flash,misrad hakhaklaut|misrad hahaklaut
misrad hachinuch,government,active,,,round2:deepseek-flash,misrad hachinuc|misrad hakhinukh|misrad hahinuh
misrad hachutz,government,active,,,round2:deepseek-flash,misrad hakhutz|misrad hahutz|misrad hachuts|misrad hachuz
misrad hadatot,government,active,,,round2:deepseek-flash,
misrad hakalkala,government,active,,,round2:deepseek-flash,misrad hakalkalah
misrad haklita,government,active,,,english-hebrew-mixed-sentences,misrad haklitah
misrad hamada,government,active,,,round2:deepseek-flash,misrad hamadah
misrad hamishpatim,government,active,,,round2:deepseek-flash,
misrad hapnim,government,active,,,english-hebrew-mixed-sentences,
misrad harevacha,government,active,,,round2:deepseek-flash,misrad harevachah|misrad harevakha|misrad harevaha
misrad hashikun,government,active,,,round2:deepseek-flash,
misrad hasport,government,active,,,round2:deepseek-flash,
misrad hasviva,government,active,,,round2:deepseek-flash,misrad hasvivah
misrad hatachbura,government,active,,,round2:deepseek-flash,misrad hatachburah|misrad hatakhbura|misrad hatahbura
misrad hatarbut,government,active,,,round2:deepseek-flash,
misrad hatayarut,government,active,,,round2:deepseek-flash,
rabanut,government,active,,,round2:deepseek-flash,rabbanut
rashut ha'atikot,government,active,,,round2:deepseek-flash,rashut haatikot|rashut ha-atikot
rashut hachashmal,government,active,,,round2:deepseek-flash,rashut hakhashmal|rashut hahashmal
rashut hadarachim,government,active,,,round2:deepseek-flash,rashut hadarakhim|rashut hadarahim
rashut hamayim,government,active,,,round2:deepseek-flash,
rashut hamisim,government,active,,,round2:deepseek-flash,
rashut hanamalim,government,active,,,round2:deepseek-flash,
rashut hashiddur,government,active,,,round2:deepseek-flash,
rashut hateufa,government,active,,,round2:deepseek-flash,rashut hateufah
rashut hateva vehaganim,government,active,,,round2:deepseek-flash,
rashut lehaganat hatzarchan,government,active,,,round2:deepseek-flash,rashut lehaganat hatzarkhan|rashut lehaganat hatzarhan|rashut lehaganat hatsarchan|rashut lehaganat hazarchan
shabak,government,active,,,round2:deepseek-flash,
achot,health,active,,,generated:deepseek-flash,akhot|ahot
atzirut,health,active,,,generated:deepseek-flash,atsirut|azirut
bdika,health,active,,,generated:deepseek-flash,bdikah
bdikat dam,health,active,,,generated:deepseek-flash,
bdikat shten,health,active,,,generated:deepseek-flash,
bikur cholim,health,active,,,generated:deepseek-flash,bikur kholim|bikur holim
bituach mashlim,health,active,,,generated:deepseek-flash,bituakh mashlim|bituah mashlim
bituach siud,health,active,,,generated:deepseek-flash,bituakh siud|bituah siud
chadar lida,health,active,,,generated:deepseek-flash,chadar lidah|khadar lida|hadar lida
chisun,health,active,,,generated:deepseek-flash,khisun|hisun
chisunim,health,active,,,generated:deepseek-flash,khisunim|hisunim
cholah,health,active,,,generated:deepseek-flash,chola|kholah|holah
choleh,health,active,,,generated:deepseek-flash,chole|kholeh|holeh
chom,health,active,,,generated:deepseek-flash,khom|hom
clalit,health,active,,,generated:deepseek-flash,
daleket,health,active,,,generated:deepseek-flash,
dgima,health,active,,,generated:deepseek-flash,dgimah
ginekolog,health,active,,,generated:deepseek-flash,
hardama,health,active,,,generated:deepseek-flash,hardamah
herayon,health,active,,,generated:deepseek-flash,
heskem,health,active,,,generated:deepseek-flash,
hit-hayvut,health,active,,,generated:deepseek-flash,
horaat keva,health,active,,,generated:deepseek-flash,horaat kevah
infuzia,health,active,,,generated:deepseek-flash,infuziah
ishur,health,active,,,generated:deepseek-flash,
kadurim,health,active,,,generated:deepseek-flash,
kapsulot,health,active,,,generated:deepseek-flash,
ke'ev,health,active,,,generated:deepseek-flash,keev
leshka,health,active,,,generated:deepseek-flash,leshkah
leumit,health,active,,,generated:deepseek-flash,
lidah,health,active,,,generated:deepseek-flash,lida
mahlah,health,active,,,generated:deepseek-flash,mahla
mashcha,health,active,,,generated:deepseek-flash,mashchah|mashkha|mashha
mashlim,health,active,,,generated:deepseek-flash,
mazkira,health,active,,,generated:deepseek-flash,mazkirah
merkaz refui,health,active,,,generated:deepseek-flash,merkaz refuih
metapelet,health,active,,,generated:deepseek-flash,
meuhedet,health,active,,,generated:deepseek-flash,
mirpaa,health,active,,,generated:deepseek-flash,mirpaah
mirsham,health,active,,,generated:deepseek-flash,
mirshamim,health,active,,,generated:deepseek-flash,
mushlam,health,active,,,generated:deepseek-flash,
nazelet,health,active,,,generated:deepseek-flash,
nifga,health,active,,,generated:deepseek-flash,nifgah
nifgei evra,health,active,,,generated:deepseek-flash,nifgei evrah
nituach,health,active,,,generated:deepseek-flash,nituac|nituakh|nituah
ptzua,health,active,,,generated:deepseek-flash,ptzuah|ptsua|pzua
sal habriut,health,active,,,generated:deepseek-flash,
shilshul,health,active,,,generated:deepseek-flash,
shinayim,health,active,,,generated:deepseek-flash,
shten,health,active,,,generated:deepseek-flash,
sirup,health,ambiguous,english_homograph,,generated:deepseek-flash,
siud,health,active,,,generated:deepseek-flash,
tachboshet,health,active,,,generated:deepseek-flash,takhboshet|tahboshet
tipat halav,health,active,,,generated:deepseek-flash,
tipot,health,active,,,generated:deepseek-flash,
tofes 17,health,active,,,generated:deepseek-flash,
tor,health,ambiguous,english_homograph,,generated:deepseek-flash,
trufa,health,active,,,generated:deepseek-flash,trufah
trufot,health,active,,,generated:deepseek-flash,
tviot,health,active,,,generated:deepseek-flash,
tviya,health,active,,,generated:deepseek-flash,tviyah
tzilum,health,active,,,generated:deepseek-flash,tsilum|zilum
tzilum raentgen,health,active,,,generated:deepseek-flash,tsilum raentgen|zilum raentgen
yoledet,health,active,,,generated:deepseek-flash,
zihum,health,active,,,generated:deepseek-flash,
zrika,health,active,,,generated:deepseek-flash,zrikah
bayit,home,active,,,english-hebrew-mixed-sentences,
machsan,home,active,,,english-hebrew-mixed-sentences,makhsan|mahsan
sherutim,home,active,,,english-hebrew-mixed-sentences,
ambatya,home_utilities,active,,,generated:deepseek-flash,ambatyah
baal habayit,home_utilities,active,,,generated:deepseek-flash,
baalat habayit,home_utilities,active,,,generated:deepseek-flash,
bakbuk,home_utilities,active,,,generated:deepseek-flash,
balon gaz,home_utilities,active,,,generated:deepseek-flash,
berez,home_utilities,active,,,generated:deepseek-flash,
bituach bayit,home_utilities,active,,,generated:deepseek-flash,bituakh bayit|bituah bayit
bituach mivne,home_utilities,active,,,generated:deepseek-flash,bituach mivneh|bituakh mivne|bituah mivne
chavis,home_utilities,active,,,generated:deepseek-flash,khavis|havis
chevrat hashmal,home_utilities,active,,,generated:deepseek-flash,khevrat hashmal|hevrat hashmal
chozeh sachirut,home_utilities,active,,,generated:deepseek-flash,khozeh sakhirut|hozeh sahirut
dira,home_utilities,active,,,generated:deepseek-flash,dirah
dirot,home_utilities,active,,,generated:deepseek-flash,
dli,home_utilities,active,,,generated:deepseek-flash,dlih
dud,home_utilities,ambiguous,english_homograph,,generated:deepseek-flash,
dud hashmal,home_utilities,active,,,generated:deepseek-flash,
dud shemesh,home_utilities,active,,,generated:deepseek-flash,dud shemes
hashmal,home_utilities,active,,,generated:deepseek-flash,
hotzaot,home_utilities,active,,,generated:deepseek-flash,hotsaot|hozaot
kaf,home_utilities,active,,,generated:deepseek-flash,
kise,home_utilities,active,,,generated:deepseek-flash,kiseh
kiyor,home_utilities,active,,,generated:deepseek-flash,
kos,home_utilities,active,,,generated:deepseek-flash,
kumkum,home_utilities,active,,,generated:deepseek-flash,
machavat,home_utilities,active,,,generated:deepseek-flash,makhavat|mahavat
machbes,home_utilities,active,,,generated:deepseek-flash,makhbes|mahbes
machbren,home_utilities,active,,,generated:deepseek-flash,makhbren|mahbren
madad,home_utilities,active,,,generated:deepseek-flash,
magevet,home_utilities,active,,,generated:deepseek-flash,
mamad,home_utilities,active,,,generated:deepseek-flash,
mas rechisha,home_utilities,active,,,generated:deepseek-flash,mas rechishah|mas rekhisha|mas rehisha
matate,home_utilities,active,,,generated:deepseek-flash,matateh
mayim chamim,home_utilities,active,,,generated:deepseek-flash,mayim khamim|mayim hamim
mazgan,home_utilities,active,,,generated:deepseek-flash,
mazleg,home_utilities,active,,,generated:deepseek-flash,
mechonat keelim,home_utilities,active,,,generated:deepseek-flash,mekhonat keelim|mehonat keelim
mechonat kvisa,home_utilities,active,,,generated:deepseek-flash,mechonat kvisah|mekhonat kvisa|mehonat kvisa
mekarer,home_utilities,active,,,generated:deepseek-flash,
mekorot,home_utilities,active,,,generated:deepseek-flash,
meyabesh,home_utilities,active,,,generated:deepseek-flash,meyabes
michzur,home_utilities,active,,,generated:deepseek-flash,mikhzur|mihzur
miklat,home_utilities,active,,,generated:deepseek-flash,
miklechot,home_utilities,active,,,generated:deepseek-flash,miklekhot|miklehot
mikror,home_utilities,active,,,generated:deepseek-flash,
mirpeset,home_utilities,active,,,generated:deepseek-flash,
mita,home_utilities,active,,,generated:deepseek-flash,mitah
mitbach,home_utilities,active,,,generated:deepseek-flash,mitbac|mitbakh|mitbah
mizron,home_utilities,active,,,generated:deepseek-flash,
nura,home_utilities,active,,,generated:deepseek-flash,nurah
pach ashpa,home_utilities,active,,,generated:deepseek-flash,pach ashpah|pakh ashpa|pah ashpa
sachirut,home_utilities,active,,,generated:deepseek-flash,sakhirut|sahirut
sakin,home_utilities,active,,,generated:deepseek-flash,
salon,home_utilities,ambiguous,english_homograph,,generated:deepseek-flash,
sapa,home_utilities,active,,,generated:deepseek-flash,sapah
sefel,home_utilities,active,,,generated:deepseek-flash,
sheka,home_utilities,active,,,generated:deepseek-flash,shekah
shulchan,home_utilities,active,,,generated:deepseek-flash,shulkhan|shulhan
sir,home_utilities,ambiguous,english_homograph,,generated:deepseek-flash,
tabu,home_utilities,ambiguous,english_homograph,,generated:deepseek-flash,tabuh
tanur,home_utilities,active,,,generated:deepseek-flash,
teka,home_utilities,active,,,generated:deepseek-flash,tekah
tzalachat,home_utilities,active,,,generated:deepseek-flash,tzalakhat|tzalahat|tsalachat|zalachat
tzinor,home_utilities,active,,,generated:deepseek-flash,tsinor|zinor
tzintzenet,home_utilities,active,,,generated:deepseek-flash,tsintsenet|zinzenet
bet din,immigration,active,,,round2:deepseek-flash,
darkon,immigration,active,,,round2:deepseek-flash,
diyur,immigration,active,,,round2:deepseek-flash,
ezrach,immigration,active,,,round2:deepseek-flash,ezrac|ezrakh|ezrah
harshama,immigration,active,,,round2:deepseek-flash,harshamah
histaglut,immigration,active,,,round2:deepseek-flash,
kitzbat yeladim,immigration,active,,,round2:deepseek-flash,kitsbat yeladim|kizbat yeladim
klita,immigration,active,,,round2:deepseek-flash,klitah
merkaz klita,immigration,active,,,round2:deepseek-flash,merkaz klitah
misrad,immigration,active,,,round2:deepseek-flash,
olah,immigration,active,,,english-hebrew-mixed-sentences,ola
oleh chadash,immigration,active,,,round2:deepseek-flash,oleh chadas|oleh khadash|oleh hadash
olim,immigration,active,,,english-hebrew-mixed-sentences,
rishum,immigration,active,,,round2:deepseek-flash,
sal klita,immigration,active,,,round2:deepseek-flash,sal klitah
sochnut,immigration,active,,,english-hebrew-mixed-sentences,sokhnut|sohnut
teudat oleh,immigration,active,,,english-hebrew-mixed-sentences,teudat ole
toshav,immigration,active,,,round2:deepseek-flash,
vatik,immigration,active,,,round2:deepseek-flash,
apotropos,legal,active,,,round2:deepseek-flash,
arvut,legal,active,,,round2:deepseek-flash,
borerut,legal,active,,,round2:deepseek-flash,
chalitza,legal,active,,,round2:deepseek-flash,chalitzah|khalitza|halitza|chalitsa
dayan,legal,active,,,round2:deepseek-flash,
dmei nezek,legal,active,,,round2:deepseek-flash,
dmei tza'ar,legal,active,,,round2:deepseek-flash,dmei tzaar|dmei tsaar|dmei zaar
edut,legal,active,,,round2:deepseek-flash,
kofer,legal,active,,,round2:deepseek-flash,
mamzer,legal,active,,,round2:deepseek-flash,
mashkon,legal,active,,,round2:deepseek-flash,
mechira,legal,active,,,round2:deepseek-flash,mechirah|mekhira|mehira
nezek,legal,active,,,round2:deepseek-flash,
nitva,legal,active,,,round2:deepseek-flash,nitvah
ones,legal,active,,,round2:deepseek-flash,
pidyon,legal,active,,,round2:deepseek-flash,
pitzuyim,legal,active,,,round2:deepseek-flash,pitsuyim|pizuyim
praklit,legal,active,,,round2:deepseek-flash,
psak din,legal,active,,,round2:deepseek-flash,
shofet,legal,active,,,round2:deepseek-flash,
shtar,legal,active,,,round2:deepseek-flash,
shtar chov,legal,active,,,round2:deepseek-flash,shtar khov|shtar hov
shtar halva'ah,legal,active,,,round2:deepseek-flash,shtar halvaah|shtar halvaa
shtar matana,legal,active,,,round2:deepseek-flash,shtar matanah
shtar mechira,legal,active,,,round2:deepseek-flash,shtar mechirah|shtar mekhira|shtar mehira
shtar shituf,legal,active,,,round2:deepseek-flash,
shtar yerusha,legal,active,,,round2:deepseek-flash,shtar yerushah
shvu'a,legal,active,,,round2:deepseek-flash,shvua|shvuah
tove'a,legal,active,,,round2:deepseek-flash,tovea|toveah
yerusha,legal,active,,,round2:deepseek-flash,yerushah
yibum,legal,active,,,round2:deepseek-flash,
al ha'esh,leisure,active,,,round2:deepseek-flash,al haesh|al ha-esh|al haes
beit kafe,leisure,active,,,round2:deepseek-flash,beit kafeh
breicha,leisure,active,,,round2:deepseek-flash,breichah|breikha|breiha
chof,leisure,active,,,round2:deepseek-flash,khof|hof
glida,leisure,active,,,round2:deepseek-flash,glidah
maayan,leisure,active,,,round2:deepseek-flash,
machane,leisure,active,,,round2:deepseek-flash,machaneh|makhane|mahane
mangal,leisure,active,,,round2:deepseek-flash,
misada,leisure,active,,,round2:deepseek-flash,misadah
mitriya,leisure,active,,,round2:deepseek-flash,mitriyah
nachal,leisure,active,,,round2:deepseek-flash,nakhal|nahal
ohel,leisure,active,,,round2:deepseek-flash,ochel
perach,leisure,active,,,round2:deepseek-flash,perac|perakh|perah
pundak,leisure,active,,,round2:deepseek-flash,
rikud,leisure,active,,,round2:deepseek-flash,
seret,leisure,active,,,round2:deepseek-flash,
shira,leisure,active,,,round2:deepseek-flash,shirah
shvil,leisure,active,,,round2:deepseek-flash,
tiyul,leisure,active,,,round2:deepseek-flash,
tzila,leisure,active,,,round2:deepseek-flash,tzilah|tsila|zila
yam,leisure,active,,,round2:deepseek-flash,
aluf,military,active,,,round2:deepseek-flash,
chayal,military,active,,,round2:deepseek-flash,khayal|hayal
chova,military,active,,,round2:deepseek-flash,chovah|khova|hova
gdud,military,active,,,round2:deepseek-flash,
gibush,military,active,,,round2:deepseek-flash,gibus
giyus,military,active,,,round2:deepseek-flash,
hativa,military,active,,,round2:deepseek-flash,hativah
katzin,military,active,,,round2:deepseek-flash,katsin|kazin
kravi,military,active,,,round2:deepseek-flash,kravih
machlaka,military,active,,,round2:deepseek-flash,machlakah|makhlaka|mahlaka
mefaked,military,active,,,round2:deepseek-flash,
miluim,military,active,,,english-hebrew-mixed-sentences,
plugah,military,active,,,round2:deepseek-flash,pluga
ptor,military,active,,,round2:deepseek-flash,
rav aluf,military,active,,,round2:deepseek-flash,
rav samal,military,active,,,round2:deepseek-flash,
rav seren,military,active,,,round2:deepseek-flash,
samal,military,active,,,round2:deepseek-flash,
sayeret,military,active,,,round2:deepseek-flash,
seren,military,active,,,round2:deepseek-flash,
sgan aluf,military,active,,,round2:deepseek-flash,
shalish,military,active,,,round2:deepseek-flash,shalis
sherut chova,military,active,,,round2:deepseek-flash,sherut chovah|sherut khova|sherut hova
sherut keva,military,active,,,round2:deepseek-flash,sherut kevah
sherut leumi,military,active,,,english-hebrew-mixed-sentences,sherut leumih
sherut miluim,military,active,,,round2:deepseek-flash,
tat aluf,military,active,,,round2:deepseek-flash,
tiron,military,active,,,round2:deepseek-flash,
tironut,military,active,,,round2:deepseek-flash,
tzanhanim,military,active,,,round2:deepseek-flash,tsanhanim|zanhanim
tzav,military,active,,,round2:deepseek-flash,tsav|zav
tzav giyus,military,active,,,round2:deepseek-flash,tsav giyus|zav giyus
tzav miluim,military,active,,,round2:deepseek-flash,tsav miluim|zav miluim
tzav rishon,military,active,,,round2:deepseek-flash,tsav rishon|zav rishon
tzava,military,active,,,round2:deepseek-flash,tzava'ah|tzavah|tsava|zava
tzevet,military,active,,,round2:deepseek-flash,tsevet|zevet
gina,municipality,active,,,round2:deepseek-flash,ginah
heter,municipality,active,,,round2:deepseek-flash,
minhal,municipality,active,,,round2:deepseek-flash,
ptur,municipality,active,,,round2:deepseek-flash,
rishayon iski,municipality,active,,,round2:deepseek-flash,rishayon iskih
shachen,municipality,active,,,round2:deepseek-flash,shakhen|shahen
shchenim,municipality,active,,,round2:deepseek-flash,shkhenim|shhenim
shkhuna,municipality,active,,,round2:deepseek-flash,shchunah|shkhunah|shchuna|shhuna
tihur,municipality,active,,,round2:deepseek-flash,
tik,municipality,active,,,round2:deepseek-flash,
tluna,municipality,active,,,round2:deepseek-flash,tlunah
tochnit,municipality,active,,,round2:deepseek-flash,tokhnit|tohnit
va'ad mekomi,municipality,active,,,round2:deepseek-flash,vaad mekomi|vaad mekomih
bdikot,pharmacy_post,active,,,round2:deepseek-flash,
beit merkachat,pharmacy_post,active,,,round2:deepseek-flash,beit merkakhat|beit merkahat
bituach,pharmacy_post,active,,,round2:deepseek-flash,bituac|bituakh|bituah
bituach refui,pharmacy_post,active,,,round2:deepseek-flash,bituach refuih|bituakh refui|bituah refui
doar beinleumi,pharmacy_post,active,,,round2:deepseek-flash,doar beinleumih
doar mahir,pharmacy_post,active,,,round2:deepseek-flash,
doar rishum,pharmacy_post,active,,,round2:deepseek-flash,
hafnaya,pharmacy_post,active,,,round2:deepseek-flash,hafnayah
merkachat,pharmacy_post,active,,,round2:deepseek-flash,merkakhat|merkahat
michtav,pharmacy_post,active,,,round2:deepseek-flash,mikhtav|mihtav
mikud,pharmacy_post,active,,,round2:deepseek-flash,
mirsham chozer,pharmacy_post,active,,,round2:deepseek-flash,mirsham khozer|mirsham hozer
mishloach,pharmacy_post,active,,,round2:deepseek-flash,mishloac|mishloakh|mishloah
misrad hadoar,pharmacy_post,active,,,round2:deepseek-flash,
rofe,pharmacy_post,active,,,round2:deepseek-flash,rofeh
rofe mishpacha,pharmacy_post,active,,,round2:deepseek-flash,rofe mishpachah|rofe mishpakha|rofe mishpaha
shaliach,pharmacy_post,active,,,round2:deepseek-flash,shaliac|shaliakh|shaliah
torim,pharmacy_post,active,,,round2:deepseek-flash,
mercaz,places,active,,,english-hebrew-mixed-sentences,
tayelet,places,active,,,english-hebrew-mixed-sentences,
yerushalayim,places,active,,,english-hebrew-mixed-sentences,
adrichal,real_estate,active,,,round2:deepseek-flash,adrikhal|adrihal
